url,title,subTitle,productInfoMediaDetails,description,relatedProduct1,relatedProduct2,onDemand,rent,price,director,publisher
https://market.beta.formed.org/,,,,,,,,,,,
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/457/s/vd-lucyandfriendsthecommunionofsa-en/category/17/,Lucy and Friends - The Communion of Saints,,Movie - 30 mins,"Lucy learns that she is invited to be a part of the biggest, most wonderful family in (and out of) the world: the Communion of Saints. Sr. Grace teaches us about the souls in heaven and purgatory. Lucy’s friends teach us about the courageous lives of St. Gianna Molla, who gave her life for her baby child, and St. Faustina Kowalska, who helped the entire world to love God more.,
        ,
  
        ,
  ","
                            Lucy and Friends-When We Get to Know Jesus","
                            Lucy and Friends - The Pope",,Rent: $1.99,Purchase: $5.99,"
      Publisher: HMTV - Fundacion EUK Mamie",    
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/502/s/vd-crossingthegoaljesussaidgodisa-en/category/17/,"Crossing the Goal: Jesus Said, ""God is Able""",,Movie - 24 mins,"
        ,
  
        ,
  ,In this first episode of the new , series, Brian Patrick and the Crossing the Goal Team embark on a discussion to understand the power of Jesus’s words in the Gospels. Their conversation leads to a conviction that Jesus’s own words have power, which still require a response from us living over two thousand years later. ,In this first episode of the new , series, Brian Patrick and the Crossing the Goal Team embark on a discussion to understand the power of Jesus’s words in the Gospels. Their conversation leads to a conviction that Jesus’s own words have power, which still require a response from us living over two thousand years later. ","
                            Crossing the Goal:  Jesus said, ""Do not be Anxious""","
                            Crossing the Goal:  Jesus said, ""Do you Love Me?""",,Rent: $2.99,Purchase: $4.99,"
      Publisher: EWTN",    
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html,,,,,,,"
    ,
    ,
    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/watch/movies/feature-films/saints/the-life-and-witness-of-mary.html,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/watch/movies/feature-films/saints/modern-day-saints.html,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/420/s/vd-fatherclementevismaraonelifeis-en/category/17/,Father Clemente Vismara,One Life is not Enough,Movie - 31 mins,"
        ,
  
        ,
  ,The extraordinary story of Catholic priest and missionary, Father Clemente Vismara, is told in this compelling documentary. For an astounding 65 years, Father Vismara served the people of Myanmar (formerly Burma). In a culture where children were often abused, abandoned, or sold, Vismara established orphanages to feed, clothe, and educate children who otherwise would have faced a life of suffering. Not only did Vismara aid Burmese children, but he also founded several thriving industries and trained local inhabitants in skills that led to rewarding employment. Vismara's work had a radical impact on Burmese culture and won many converts in this overwhelmingly Buddhist country. After his death at age 91, reports surfaced about miracles attributed to his intercession. Father Vismara was beatified in June 2011.,The extraordinary story of Catholic priest and missionary, Father Clemente Vismara, is told in this compelling documentary. For an astounding 65 years, Father Vismara served the people of Myanmar (formerly Burma). In a culture where children were often abused, abandoned, or sold, Vismara established orphanages to feed, clothe, and educate children who otherwise would have faced a life of suffering. Not only did Vismara aid Burmese children, but he also founded several thriving industries and trained local inhabitants in skills that led to rewarding employment. Vismara's work had a radical impact on Burmese culture and won many converts in this overwhelmingly Buddhist country. After his death at age 91, reports surfaced about miracles attributed to his intercession. Father Vismara was beatified in June 2011.","
                            Solanus Casey","
                            Father Placido Cortese",,Rent: $3.99,Purchase: $11.99,"
      Publisher: Vision Video",    
,,,,,,,,,,,
https://market.beta.formed.org/watch/movies/feature-films/saints/saints-of-history.html,,,,,,,"
    ,
    ,
    ,
",,,,
https://market.beta.formed.org/shop-products/watch/feature-films/test-category.html,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
,,,,,,,,,,,
